chain_id,block_number,pair_id,pair_address,token0_address,token1_address,reserve0_raw,reserve1_raw,state_quality_flag,state_source_type,last_sync_block_number,last_sync_transaction_hash,last_sync_log_index,initial_sync_matches_historical_call
1,25545569,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8790562880573,4674278918425209405584,carried_forward,sync_log,25545568,0x6750ca877b7c20e7c3b227a24f8cfc94e703fd8f3a95c618d8c8131c990ba579,219,True
1,25545570,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545570,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3921047476461740036820,7378777685541,carried_forward,sync_log,25545568,0x6750ca877b7c20e7c3b227a24f8cfc94e703fd8f3a95c618d8c8131c990ba579,259,True
1,25545570,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8790562880573,4674278918425209405584,carried_forward,sync_log,25545568,0x6750ca877b7c20e7c3b227a24f8cfc94e703fd8f3a95c618d8c8131c990ba579,219,True
1,25545571,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545571,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,observed_sync,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545571,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,observed_sync,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545572,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545572,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545572,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545573,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545573,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545573,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545574,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545574,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545574,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545575,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545575,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545575,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545576,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545576,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545576,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545577,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545577,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545577,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545578,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545578,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545578,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545579,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
1,25545579,USDT_WETH,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,3917951769048401373898,7384625455304,carried_forward,sync_log,25545571,0xab4d7c56dd9be8c998959e2b0a4b78fa79ee374a1b0a0e65960f64ab62fc4d4f,652,True
1,25545579,WETH_USDC,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8794016743113,4672448594087362492995,carried_forward,sync_log,25545571,0xe1f740336f4f10504c1d786f6317437aee5a8eeeda07da197515edad7ccdca7f,108,True
1,25545580,USDC_USDT,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,1667847355905,1665681492358,carried_forward,sync_log,25545276,0x70c314ed26835b70df0491d6082c086cb5590a8fe6d44aefe46351ae6f91dfb9,650,True
